url,title,description,thumbnail,tags,skills,what you'll need,instructions,variations,info checked,tested
https://www.instructables.com/Gliding-Car/,Gliding Car : 3 Steps (with Pictures) - Instructables,"Gliding Car: This car is designed to be pushed off of a tabletop, glide gently to the ground, and continue rolling!
You can find the lesson plan, 1-page project sheet, and more project ideas at STEM-Inventions.com
",https://content.instructables.com/F01/C8BG/JXYYLO8A/F01C8BGJXYYLO8A.jpg?auto=webp&frame=1,,,,"Gliding Car Instructions:
Step 1: Materials. You need a hot glue gun, craft sticks, milkshake straws, skewers, cardstock, wheels, masking tape.
Step 2: Build the frame. Use craft sticks and straws.
Step 3: Add wheels using skewers as axles.
Step 4: Create wings from cardstock and attach.
Step 5: Launch! Push off a table.",,,
https://www.instructables.com/5-Awesome-Egg-Experiments-1/,5 Awesome Egg Experiments : 5 Steps (with Pictures) - Instructables,"5 Awesome Egg Experiments: Today, I'm going to show you some experiments using the infamous egg!

",https://content.instructables.com/F08/F04Z/J5IG1K9R/F08F04ZJ5IG1K9R.jpg?auto=webp&frame=1,,,,"5 Awesome Egg Experiments:
1. Silver Egg: Burn an egg with a lighter to create soot, then put in water. It looks silver.
2. Rubbery Egg: Soak an egg in vinegar for 1-3 days until shell dissolves. It becomes rubbery.
3. Changing Shapes: Put an egg in a cylinder glass with water to see it change shape.
4. Making an Egg Stand: Use a little salt on the table to balance the egg.
5. Bodybuilding Egg: Test egg strength by placing it between tape rolls and adding weights.",,,
https://www.instructables.com/Oobleck/,Oobleck: the Dr. Seuss Science Experiment : 5 Steps (with Pictures) - Instructables,"Oobleck: the Dr. Seuss Science Experiment: Oobleck is a classic science experiment that's perfect for entertaining both kids and adults. If you haven't seen it in action it's very fascinating stuff and before too long you'll have your hands covered with it, happily making a mess that can be …",https://content.instructables.com/F0A/0ICW/JAIJIVUW/F0A0ICWJAIJIVUW.jpg?auto=webp&frame=1,,,,"Oobleck Instructions:
Step 1: Mix 1 cup water and 1.5-2 cups cornstarch in a bowl.
Step 2: Stir. It should be hard when punched but liquid when poured.
Step 3: Add food coloring (optional).
Step 4: Play! Squeeze it, let it ooze, or punch it.",,,
https://www.instructables.com/MINI-MUFFIN-CRAYONS-A-New-Life-for-Broken-Crayo/,MINI-MUFFIN CRAYONS... a New Life for Broken Crayons! : 4 Steps (with Pictures) - Instructables,MINI-MUFFIN CRAYONS... a New Life for Broken Crayons!: ''''Broken crayons?!?  Don't throw them away...MAKE OLD CRAYONS-NEW AGAIN! Up-cycle your broken crayons into MINI-MUFFIN SIZED CRAYONS.  You will love the tie-dyed look and your young artists will love the mini-disc size---just right for small hands…,https://content.instructables.com/F0B/L00Q/FW39L9YD/F0BL00QFW39L9YD.jpg?auto=webp&frame=1,,,,"Mini-Muffin Crayons:
Step 1: Preheat oven to 275°F (135°C).
Step 2: Peel paper off broken crayons.
Step 3: Arrange crayon pieces in a mini-muffin tin. Mix colors if desired.
Step 4: Bake for 10-13 minutes until melted.
Step 5: Cool completely (can use fridge), then pop out.",,,
https://www.instructables.com/Make-a-Document-Camera-Out-of-an-Old-Box-and-a-Mir/,Make a Document Camera Out of an Old Box and a Mirror. : 7 Steps (with Pictures) - Instructables,"Make a Document Camera Out of an Old Box and a Mirror.: This project recycles an old box to make a document camera.  Distance learning is not great, but this document camera can help a teacher see what a student is writing on.  This document camera can also be used by a teacher as a document camera too. …",https://content.instructables.com/F13/G0HD/KF5EAB29/F13G0HDKF5EAB29.jpg?auto=webp&frame=1,,,,"Document Camera from Box & Mirror:
Step 1: Cut two 3-inch squares from an old box.
Step 2: Measure laptop lid thickness and cut a slot in the squares to fit.
Step 3: Place squares on laptop. Place a small mirror (e.g. 60x70mm) over the camera.
Step 4: Adjust angle to see the keyboard area. Mark the angle.
Step 5: Cut a groove for the mirror in the cardboard and glue it in place.
Step 6: Use software to flip the image if needed.",,,
https://www.instructables.com/STEAM-3D-Bubble-Wand/,STEAM 3D Bubble Wand : 4 Steps (with Pictures) - Instructables,"STEAM 3D Bubble Wand: Everybody loves bubbles, regardless of age. But why all the bubble wands needs to be flat and bubble always spherical. In today’s project, we will break these stereotypes and build some 3-dimensional bubble wands and learn structural engineering. We…",https://content.instructables.com/F1A/36C3/KFWJOAMW/F1A36C3KFWJOAMW.jpg?auto=webp&frame=1&width=2100,,,"Pipe cleaners, beads (e.g., pony beads), bubble solution, dish/bowl","Decide on a shape (cube, pyramid, star, etc.) for your wand.

Bend pipe cleaners to form the 3D frame of your shape. Twist ends together to secure.

Create a handle by twisting two pipe cleaners together and attaching them to your shape.

Thread beads onto the handle for decoration and grip (secure the bottom with a twist).

Dip the entire 3D shape into bubble solution and wave it to create bubbles.",,,
https://www.instructables.com/Easy-3-D-Silk-Screen-Painting-Technique-for-All-Ag/,Easy 3-D Silk-Screen Painting Technique for All Ages : 10 Steps (with Pictures) - Instructables,"Easy 3-D Silk-Screen Painting Technique for All Ages: When my son was in pre-school, I wanted to create artwork projects that would last the test of time and teach my son something in the process that was fun to make. At an art supply store, I found letters cut-out of wood, cardboard and cork. I used t…",https://content.instructables.com/F1B/N30B/JYOOKPRG/F1BN30BJYOOKPRG.jpg?auto=webp&frame=1&width=2100,,,"Screen (can use embroidery hoop with sheer fabric or old tights), Mod Podge or glue (to block areas), paint/ink, squeegee (or stiff card), paper/fabric to print on.","Create a design on your screen. You can use the ""drawing fluid/screen filler"" method or simply paint a negative image directly onto the screen with glue/Mod Podge (block out areas you don't want to print). Let it dry completely.

Place the screen flat on top of your paper or fabric.

Put a blob of paint at the top of the screen.

Use the squeegee to pull the paint firmly down across the screen at a 45-degree angle.

Lift the screen carefully to reveal the print.",,,
https://www.instructables.com/Wonder-Water-Bridge/,Wonder Water Bridge : 5 Steps (with Pictures) - Instructables,"Wonder Water Bridge: Water is life. In this instructable made with very minimal items, I've experimented with some colors and is based on the science of 'Osmosis'(Osmosis is the spontaneous net movement or diffusion of solvent molecules through a selectively permeable m…",https://content.instructables.com/F1I/E2TU/KRGCS5DM/F1IE2TUKRGCS5DM.jpg?auto=webp&frame=1,,,"7 clear plastic cups, water, food coloring (Red, Yellow, Blue), paper towels.","Line up the 7 cups.

Fill every other cup (1st, 3rd, 5th, 7th) with water. Leave the even-numbered cups empty.

Add food coloring to the water cups: Red in 1st & 7th, Yellow in 3rd, Blue in 5th.

Fold paper towel strips into long, thin rectangles.

Place paper towels to bridge adjacent cups (one end in a filled cup, the other in an empty one).

Watch as water travels up the towels and mixes in the empty cups to create new colors (orange, green, purple).",,,
https://www.instructables.com/Shadow-Stage/,Shadow Stage : 8 Steps (with Pictures) - Instructables,"Shadow Stage: A shadow screen or shadow stage can be used to tell stories, set up mysterious or beautiful scenes, pose shadow puzzles, and learn about how light works.  
Shadow Stage was developed as part of the Light and Shadow Workshop, using basic tools -- mir…",https://content.instructables.com/F1S/KGUD/KPGWR1H2/F1SKGUDKPGWR1H2.jpg?auto=webp&frame=1&width=2100,,,"Cardboard box, translucent paper (wax paper/baking parchment), tape, light source (lamp/flashlight), scissors, black cardstock/paper, skewers/sticks.","Cut a rectangular ""screen"" opening in the bottom or lid of a cardboard box.

Tape the translucent paper over the opening to create the screen.

Cut puppet shapes out of black cardstock and tape them to skewers.

Place a light source behind the box, shining through the screen towards the audience.

Hold puppets between the light and the screen to cast shadows.",,,
https://www.instructables.com/Nature-Display/,Nature Display : 4 Steps (with Pictures) - Instructables,"Nature Display: First, grab a bucket, box, or bag and take a nature walk. Take a look around and think about the animals, plants, and natural materials. Collect as many different types of natural objects as you can find but make sure you aren’t harming the natural …",https://content.instructables.com/F21/IHS9/KJLFL2KR/F21IHS9KJLFL2KR.jpg?auto=webp&frame=1,,,"Nature items (leaves, flowers, rocks), cardboard/paper, glue, shadow box or tray.","Go on a nature walk and collect interesting items (ensure they are dry).

Arrange them aesthetically on a backing board or inside a shadow box.

Secure items with glue or simply arrange them loose in a tray for a changing seasonal table.

Label items if desired for educational value.",,,
