url,title,description,thumbnail,tags,skills,what you'll need,instructions,variations,info checked,tested
,milk jug elephants,,https://theimaginationtree.com/wp-content/uploads/2014/07/Elmer-elephant-milk-jug-craft-680x453.jpg,"Art, Recycling","3D Design, Construction","Milk jugs, paint, paper, scissors","1. Cut the handle and side of a milk jug to look like an elephant's trunk and head. 2. Paint the jug gray. 3. Add large paper ears to the sides. 4. Use the opening of the jug for the eyes or trunk detail. 5. Discuss how we can turn ""rubbish"" into a whole zoo of animals.",,y,y
,egg box reef,,https://i.pinimg.com/1200x/0d/f9/a9/0df9a97963355e0bd97b5c41f1d71e82.jpg,"Art, Recycling, Ecology","3D Design, Environment","Egg cartons, green/blue paint, glitter, scraps","1. Use the bottom of a large egg carton as the ""seabed."" 2. Cut individual cups and trim the edges to look like anemones or coral. 3. Paint everything in vibrant ""underwater"" colors. 4. Glue in small pebbles or blue paper scraps for water. 5. Add paper fish or pipe cleaner seaweed to complete the reef.",,y,n
https://uk.pinterest.com/pin/16466354883090829/,shark pop-up card,,https://www.easypeasyandfun.com/wp-content/uploads/2020/01/step1-4.jpg,"Art, Literacy, Geometry","3D Design, Folding","Cardstock, scissors, markers","The Base Fold: Fold a piece of cardstock in half to create your card. Keep it folded.

The Mouth Cut: On the folded edge, use scissors to make one straight cut (about 2 inches long) directly into the center of the card.

The Triangle Folds: Take the two corners created by that cut and fold them back away from the center to create two small triangles. Crease these triangles very firmly with your fingernail.

The Reverse Crease: Unfold the two small triangles so the card is flat (but still folded in half).

The Pop: Open the card slightly. Use your finger to push the two triangle ""flaps"" through to the inside of the card.

The Set: Close the card flat and press down hard. When you open the card now, the triangles should pop inward, creating a ""beak"" or ""mouth"" that opens and closes.",different animals ,y,y
,egg box penguins,,https://i.pinimg.com/1200x/fe/54/61/fe5461149af527520bf450ebcbd05f50.jpg,"Art, Recycling, Animals","3D Design, Patterns","Egg carton, black/white paint, orange paper, scissors, glue","1. Cut individual cups from an egg carton. 2. Paint the front white and the rest black. 3. Cut a tiny orange triangle for a beak and glue it on. 4. Glue on small black paper ""flippers."" 5. Stand them up in a group to create a penguin colony.",,y,y
https://uk.pinterest.com/pin/16466354883090815/,pop up farm,,https://i.pinimg.com/736x/b8/68/45/b86845aebc25eb575aee4249567b81d0.jpg,"Art, Literacy, Drama","3D Design, Storytelling","Cardstock, markers, scissors, glue","The Backdrop: Fold a large piece of blue cardstock in half to create the background sky and the base of your card.

The Fan Floor: Take a rectangular piece of orange paper and fold it back and forth in even ""mountain and valley"" folds to create a long accordion fan.

The Center Anchor: Fold your finished accordion fan in half to find the center point.

Gluing the Fan: Apply glue to the two flat outer ends of the fan.

The Pop-Up Mechanism: Press the center fold of the fan into the center crease of your blue card.

Securing the Fan: Glue the left edge of the fan to the left side of the card and the right edge to the right side of the card, making sure the fan sits flat against the bottom edge.

Decoration: Once the glue is dry, open the card to watch the fan spread out into a semi-circle ""floor.""

Finishing Touches: Glue your house and character cut-outs to the blue background and tuck small grass cut-outs into the folds of the orange fan.",,y,y
,egg box seal,,https://i.pinimg.com/1200x/db/b6/e7/dbb6e78fd3ef99a1e1de12c0dc303bf2.jpg,"Art, Recycling, Animals","3D Design, Texture","Egg carton, gray paint, cotton balls","1. Cut a tall pointy bit out, incling bits around it for flippers and tail. 2. Paint them gray. 3. Draw on whiskers and eyes.",,y,y
,egg box whale,,https://i.pinimg.com/736x/9c/df/3b/9cdf3bb63f5c18165f0b6ea21c79a9e7.jpg,"Art, Recycling, Animals","3D Design, Texture","Egg carton, blue paint, paper, scissors","1. Cut a single cup out of an egg carton for the body. 2. Paint the cup bright blue. 3. Cut a ""tail"" and ""fins"" out of blue paper and glue them to the back. 4. Poke a small hole in the top and insert a blue pipe cleaner for the ""spout."" 5. Draw a large smile and eyes on the front.",,y,y
,egg box jellyfish,,https://i.pinimg.com/736x/e4/db/e8/e4dbe89e9a2c26e329270a60d0fb606f.jpg,"Art, Recycling, Animals","3D Design, Texture","Egg carton, purple/blue paint, yarn","1. Cut a single cup from an egg carton. 2. Paint it a ""sea"" color. 3. Attach long pieces of yarn to the bottom for tentacles. 4. Glue on googly eyes. 5. Hang the jellyfish from the ceiling and watch it ""float.""",,y,y
https://uk.pinterest.com/pin/1055599908344749/,3d shape pull,,https://i.pinimg.com/736x/58/f4/3f/58f43f7fa193cb73d1169e0561ad7cb2.jpg,"Math, Geometry, Fine Motor","3D shapes, Perception","paper,hole punch, string, ","Cut out the shape nets, make holes to thread string through, pull to bring 3d shape together ",,y,y
https://uk.pinterest.com/pin/2603712282454385/,junk modelling aim game,,https://i.pinimg.com/736x/83/ea/df/83eadf52c6e72e1db9c5339d5ab51a47.jpg,"STEM, Games, Engineering","Accuracy, Coordination","plastic bottle, tinfoil or beads, scissors, tape","cut the top off the bottle, tape the top back on upside down, drop tinfoil balls or beads into the bottle, turn it over, try and shake the bottle until the balls fall through the hole, try catching them in your other hand. ","different sized balls, what is the best shaking technique?, who can get the most in a certain amount of time?",y,y
,junk modelling instrument,,https://i.pinimg.com/736x/98/fc/d1/98fcd17c8277dc5b5c781bef1b90a967.jpg,"Music, Recycling, STEM","Acoustics, Construction","Empty containers (tins, boxes), rubber bands, tape, bottlecaps","1. Collect various pieces of ""junk"" like a cereal box or a coffee tin. 2. Stretch rubber bands over the opening of the box to make a guitar. 3. Tap on the tins with spoons to make drums. 4. Tape two containers together to see how the sound changes. 5. make cardboard castanets by taping bottlecaps to strips of cardboard 6. Put on a ""junk band"" performance for an audience.",,y,y
,write dance,"put on a piece of music and ask your child to draw to the beat, see how different types of music look e.g. classical, jazz, EDM, or share instrumental versions of your favourite songs. Try as many different genres as you can find but try and avoid anything with lyrics as you are trying to get them to react to just the sounds",,"Art, Music","Acoustics, Expression","Paper, markers, different genres of music","1. Put on a piece of music (Classical, Jazz, or EDM). 2. Use instrumental versions to avoid lyrics. 3. Ask the child to ""draw the sound"" using markers. 4. High, fast music might lead to dots and zigzags; slow, low music might lead to long, wavy lines. 5. Compare the drawings for each genre to see how the music ""looks.""",,y,y
https://uk.pinterest.com/pin/1759287348632233/,papercup woodpecker,,https://i.pinimg.com/736x/3b/59/c1/3b59c15d0e0d9221452d481933f57435.jpg,"STEM, Physics, Nature","physics, ","paper cup, string, paper, scissors,glue, carboard","make paper spring, glue one end to cup, other end to cardboard woodpecker. poke hole in cup above spring, glue one end of string to woodpeckers body, thread string through hole in cup and come out bottom, pull string for woodpecker to peck, release for it to reset",,y,n
,clap game,"have the child sit in front of you, clap a simple rhythm and see if they can copy it",,"Music, Literacy","Acoustics, Rhythm",None (just hands and ears),"1. Sit facing the child. 2. Clap a very simple rhythm (e.g., Clap-Clap-Pause-Clap). 3. The child must try to ""copycat"" the rhythm exactly. 4. Gradually make the rhythms more complex as they get better. 5. This develops the listening skills and auditory memory needed for language.",,y,y
https://www.instructables.com/Camouflage-Critters/,Camouflage Critters  : 4 Steps (with Pictures) - Instructables,"Camouflage Critters : The Science of Camouflage
Have you ever wanted to make yourself disappear while playing a game of hide and seek? Some animals do this every day! Camouflage is a defense technique used by animals to avoid being seen or help them blend in with their e…",https://content.instructables.com/FXO/OVI7/K9R60HJG/FXOOVI7K9R60HJG.png?auto=webp&frame=1,"Science, Biology, Evolution","Adaptation, Observation","paper, scissors, something to colour in with",draw a background and fill in animal outline to blend in with it,"do cameleons and instead of drawing a background colour it in to match something around the house, see how long it takes someone to notice it.",y,n
https://www.instructables.com/Engineering-a-Hoop-Glider/,Engineering a Hoop Glider : 13 Steps (with Pictures) - Instructables,"Engineering a Hoop Glider: Would you like to make your own flying toy, but you’re tired of paper airplanes?  Try making a hoop glider, instead! 
Hoop Gliders move through the air using the same forces that larger airplanes use when they fly.  Those forces are thrust, drag, li…",https://content.instructables.com/FM6/D2EL/KAB2N8YK/FM6D2ELKAB2N8YK.jpg?auto=webp&frame=1,"STEM, Aeronautics, Physics","Aerodynamics, Design","Plastic straw, cardstock, tape, scissors","1. Cut two strips of cardstock: one 1 inch by 5 inches, one 1 inch by 10 inches. 2. Tape each strip into a hoop. 3. Tape the small hoop to the front of the straw and the large hoop to the back. 4. Ensure the hoops are aligned and vertical. 5. Throw it like a spear; the air passing through the hoops provides lift and stability.",,y,n
https://www.instructables.com/Flying-Fish-Paper-Spinner/,Flying Fish Paper Spinner : 7 Steps (with Pictures) - Instructables,"Flying Fish Paper Spinner: This is a fun activity and a great boredom-buster for children that can keep them engrossed in their imagination for hours. All you need is some paper and scissors and you're ready to go.
 Being simple and mess-free is an added bonus making this a g…",https://content.instructables.com/FZ4/KFU4/KSONGJKT/FZ4KFU4KSONGJKT.jpg?auto=webp&frame=1,"STEM, Physics, Aeronautics","Aerodynamics, Rotation","Paper, scissors, paperclip","1. Cut a rectangle of paper and make two slits at the top to create ""wings."" 2. Fold the wings in opposite directions. 3. Fold the bottom part of the paper up and secure it with a paperclip. 4. Drop the ""fish"" from a height. 5. The air resistance makes the spinner rotate like a helicopter as it falls.",,y,n
https://uk.pinterest.com/pin/2885187256194616/,mini plane,,https://i.pinimg.com/736x/c9/eb/45/c9eb454f9fbee8ddbc391fb018eedb79.jpg,"STEM, Engineering, Aeronautics","Aerodynamics, Weight","paper, tape or glue, cotton bud",tape paper wings to cotton bud and throw. Longer wings and cotton part at front.,,y,n
